Nov 07,Nov 09,Nov 08,Nov 10
10.0,422.0,353.0,627.0
38.0,184.0,187.0,216.0
1320.0,552.0,343.0,64.0
617.0,820.0,813.0,0.0
444.0,425.0,1082.0,0.0
659.0,1164.0,1028.0,0.0
628.0,1231.0,1259.0,0.0
698.0,1172.0,1254.0,0.0
669.0,528.0,601.0,0.0
903.0,701.0,893.0,0.0
587.0,1106.0,882.0,0.0
1006.0,1056.0,1034.0,0.0
345.0,805.0,824.0,0.0
854.0,940.0,830.0,0.0
905.0,980.0,558.0,0.0
808.0,909.0,775.0,0.0
1121.0,997.0,962.0,0.0
978.0,850.0,1206.0,0.0
1031.0,1091.0,988.0,0.0
1008.0,875.0,897.0,0.0
975.0,931.0,945.0,0.0
926.0,690.0,895.0,0.0
2116.0,1334.0,1408.0,0.0
1189.0,1228.0,416.0,0.0
