Nov 16,Nov 14,Nov 15,Nov 13
310.0,691.0,476.0,10.0
243.0,398.0,290.0,407.0
178.0,259.0,433.0,399.0
0.0,801.0,499.0,704.0
0.0,1120.0,1156.0,371.0
0.0,566.0,1267.0,591.0
0.0,704.0,1089.0,675.0
0.0,745.0,838.0,618.0
0.0,589.0,697.0,438.0
0.0,655.0,548.0,776.0
0.0,833.0,760.0,937.0
0.0,978.0,1011.0,858.0
0.0,839.0,625.0,769.0
0.0,780.0,336.0,1037.0
0.0,1035.0,870.0,998.0
0.0,1042.0,772.0,736.0
0.0,895.0,871.0,916.0
0.0,673.0,689.0,1169.0
0.0,988.0,1043.0,1043.0
0.0,1067.0,851.0,1172.0
0.0,609.0,1087.0,894.0
0.0,575.0,906.0,1005.0
0.0,985.0,918.0,762.0
0.0,1086.0,603.0,1045.0
