Nov 05,Nov 04,Nov 07,Nov 06
743.0,57.0,1581.0,906.0
258.0,114.0,315.0,443.0
565.0,353.0,55.0,790.0
482.0,761.0,0.0,892.0
1339.0,1205.0,0.0,737.0
1055.0,894.0,0.0,813.0
1014.0,986.0,0.0,977.0
648.0,1133.0,0.0,758.0
672.0,659.0,0.0,313.0
878.0,1216.0,0.0,768.0
962.0,771.0,0.0,425.0
994.0,1140.0,0.0,864.0
932.0,840.0,0.0,641.0
901.0,834.0,0.0,743.0
1071.0,862.0,0.0,837.0
970.0,843.0,0.0,1056.0
921.0,831.0,0.0,851.0
1005.0,959.0,0.0,1317.0
1045.0,1001.0,0.0,617.0
933.0,775.0,0.0,917.0
1119.0,1357.0,0.0,1096.0
1064.0,1060.0,0.0,716.0
956.0,1448.0,0.0,728.0
1314.0,903.0,0.0,929.0
