Oct 22,Oct 23,Oct 20,Oct 21
359.0,619.0,0.0,864.0
300.0,526.0,0.0,407.0
554.0,688.0,0.0,359.0
703.0,162.0,476.0,758.0
862.0,0.0,1008.0,791.0
947.0,0.0,1174.0,543.0
1195.0,0.0,954.0,594.0
915.0,0.0,897.0,525.0
903.0,0.0,697.0,620.0
881.0,0.0,847.0,517.0
752.0,0.0,745.0,676.0
573.0,0.0,890.0,767.0
686.0,0.0,813.0,605.0
525.0,0.0,1173.0,692.0
507.0,0.0,895.0,523.0
717.0,0.0,783.0,608.0
684.0,0.0,780.0,721.0
924.0,0.0,979.0,976.0
815.0,0.0,406.0,993.0
736.0,0.0,485.0,1157.0
871.0,0.0,539.0,837.0
596.0,0.0,628.0,1169.0
932.0,0.0,412.0,299.0
937.0,0.0,909.0,2649.0
