Oct 19,Oct 18,Oct 17,Oct 20
644.0,447.0,0.0,639.0
315.0,184.0,0.0,615.0
569.0,1078.0,97.0,478.0
1085.0,682.0,143.0,681.0
905.0,1055.0,580.0,0.0
879.0,854.0,494.0,0.0
876.0,1223.0,803.0,0.0
920.0,755.0,979.0,0.0
968.0,968.0,631.0,0.0
717.0,954.0,807.0,0.0
665.0,947.0,844.0,0.0
1222.0,884.0,600.0,0.0
775.0,470.0,1029.0,0.0
942.0,788.0,941.0,0.0
831.0,742.0,1012.0,0.0
744.0,854.0,1064.0,0.0
980.0,803.0,883.0,0.0
1025.0,851.0,1140.0,0.0
1115.0,1277.0,1359.0,0.0
757.0,1105.0,909.0,0.0
1112.0,1229.0,827.0,0.0
750.0,873.0,742.0,0.0
2222.0,1456.0,1267.0,0.0
935.0,1289.0,666.0,0.0
