Nov 20,Nov 21,Nov 19
672.0,1462.0,16.0
635.0,863.0,289.0
1389.0,1671.0,426.0
663.0,981.0,638.0
629.0,1310.0,1000.0
1050.0,662.0,1060.0
717.0,913.0,1071.0
603.0,1093.0,866.0
884.0,947.0,964.0
606.0,550.0,203.0
919.0,627.0,587.0
851.0,832.0,612.0
634.0,666.0,874.0
911.0,827.0,1105.0
762.0,54.0,836.0
571.0,0.0,1010.0
810.0,0.0,888.0
773.0,0.0,1016.0
690.0,0.0,952.0
1763.0,0.0,1316.0
1794.0,0.0,1166.0
1995.0,0.0,1073.0
1158.0,0.0,1320.0
1283.0,0.0,1371.0
