Hour,Dec 06,Dec 04,Dec 05,Dec 03
0,327.0,444.0,867.0,0.0
1,227.0,332.0,417.0,0.0
2,281.0,615.0,691.0,0.0
3,692.0,622.0,684.0,0.0
4,830.0,485.0,316.0,0.0
5,870.0,898.0,869.0,0.0
6,838.0,308.0,580.0,0.0
7,315.0,561.0,695.0,7.0
8,0.0,434.0,969.0,403.0
9,0.0,378.0,370.0,380.0
10,0.0,765.0,910.0,577.0
11,0.0,686.0,741.0,1328.0
12,0.0,429.0,911.0,500.0
13,0.0,820.0,1003.0,744.0
14,0.0,843.0,560.0,896.0
15,0.0,712.0,995.0,790.0
16,0.0,729.0,1039.0,895.0
17,0.0,1167.0,1084.0,907.0
18,0.0,1118.0,716.0,1111.0
19,0.0,1039.0,1194.0,1001.0
20,0.0,1215.0,519.0,1071.0
21,0.0,833.0,299.0,877.0
22,0.0,700.0,712.0,924.0
23,0.0,524.0,323.0,704.0
