Hour,Dec 12,Dec 11,Dec 10,Dec 09
0,537.0,596.0,1051.0,0.0
1,533.0,356.0,650.0,0.0
2,557.0,304.0,72.0,0.0
3,546.0,1293.0,726.0,0.0
4,654.0,694.0,734.0,0.0
5,336.0,638.0,868.0,0.0
6,36.0,327.0,897.0,271.0
7,0.0,579.0,831.0,824.0
8,0.0,546.0,771.0,609.0
9,0.0,384.0,871.0,782.0
10,0.0,496.0,765.0,566.0
11,0.0,759.0,721.0,935.0
12,0.0,738.0,711.0,598.0
13,0.0,992.0,825.0,532.0
14,0.0,842.0,918.0,667.0
15,0.0,750.0,1094.0,864.0
16,0.0,945.0,615.0,815.0
17,0.0,920.0,1031.0,775.0
18,0.0,1035.0,1142.0,632.0
19,0.0,963.0,1021.0,994.0
20,0.0,837.0,1274.0,722.0
21,0.0,836.0,878.0,686.0
22,0.0,771.0,1877.0,844.0
23,0.0,900.0,1493.0,1270.0
