Hour,Nov 30,Nov 29,Nov 28
0,1204.0,1745.0,0.0
1,904.0,546.0,0.0
2,704.0,618.0,0.0
3,1237.0,1151.0,0.0
4,1594.0,1479.0,0.0
5,1469.0,1261.0,0.0
6,1869.0,1256.0,0.0
7,1190.0,1282.0,0.0
8,683.0,1521.0,0.0
9,828.0,1327.0,0.0
10,665.0,966.0,0.0
11,532.0,1648.0,0.0
12,259.0,1021.0,0.0
13,0.0,1660.0,0.0
14,0.0,972.0,0.0
15,0.0,1786.0,0.0
16,0.0,1844.0,0.0
17,0.0,1793.0,0.0
18,0.0,1563.0,0.0
19,0.0,1328.0,150.0
20,0.0,1210.0,752.0
21,0.0,1991.0,1140.0
22,0.0,916.0,718.0
23,0.0,1537.0,353.0
