Oct 17,Oct 16,Oct 15,Oct 14
616.0,658.0,455.0,0.0
356.0,514.0,170.0,0.0
1152.0,1191.0,735.0,0.0
142.0,619.0,778.0,49.0
21.0,462.0,1041.0,346.0
0.0,758.0,1141.0,554.0
0.0,345.0,503.0,495.0
0.0,480.0,966.0,501.0
0.0,426.0,844.0,692.0
0.0,702.0,582.0,707.0
0.0,719.0,862.0,719.0
0.0,666.0,1020.0,614.0
0.0,721.0,826.0,680.0
0.0,1055.0,527.0,729.0
0.0,927.0,1150.0,794.0
0.0,761.0,966.0,842.0
0.0,740.0,828.0,825.0
0.0,886.0,887.0,777.0
0.0,961.0,701.0,1082.0
0.0,702.0,665.0,1146.0
0.0,1020.0,941.0,707.0
0.0,1124.0,587.0,617.0
0.0,965.0,669.0,1292.0
0.0,1051.0,586.0,1103.0
