Nov 12,Nov 09,Nov 13,Nov 10,Nov 11
378.0,0.0,1224.0,233.0,627.0
280.0,0.0,547.0,198.0,128.0
424.0,0.0,91.0,496.0,462.0
482.0,0.0,1.0,266.0,671.0
900.0,0.0,0.0,733.0,952.0
921.0,0.0,0.0,1064.0,1294.0
641.0,0.0,0.0,1017.0,893.0
932.0,0.0,0.0,826.0,1074.0
686.0,0.0,0.0,903.0,914.0
509.0,0.0,0.0,425.0,607.0
672.0,0.0,0.0,708.0,933.0
997.0,0.0,0.0,566.0,1227.0
860.0,0.0,0.0,650.0,829.0
807.0,0.0,0.0,875.0,875.0
633.0,0.0,0.0,916.0,780.0
927.0,0.0,0.0,883.0,693.0
958.0,0.0,0.0,847.0,859.0
856.0,0.0,0.0,869.0,1009.0
896.0,0.0,0.0,946.0,644.0
1099.0,0.0,0.0,957.0,862.0
1245.0,0.0,0.0,432.0,1083.0
792.0,0.0,0.0,584.0,848.0
603.0,0.0,0.0,889.0,1135.0
790.0,58.0,0.0,846.0,1164.0
