Nov 27,Nov 26,Nov 25
2737.0,1143.0,0.0
772.0,339.0,0.0
398.0,857.0,0.0
814.0,1372.0,0.0
1251.0,1871.0,0.0
856.0,2362.0,0.0
838.0,1635.0,0.0
1527.0,1967.0,0.0
459.0,1210.0,0.0
543.0,1458.0,0.0
561.0,2191.0,0.0
428.0,1888.0,0.0
482.0,1462.0,0.0
139.0,467.0,0.0
0.0,867.0,0.0
0.0,1250.0,0.0
0.0,1936.0,0.0
0.0,1605.0,0.0
0.0,1645.0,0.0
0.0,1226.0,42.0
0.0,1573.0,795.0
0.0,2048.0,1330.0
0.0,1771.0,831.0
0.0,2337.0,1214.0
