Hour,Dec 02,Dec 03,Dec 01
0,1240.0,1479.0,0.0
1,1905.0,468.0,0.0
2,389.0,545.0,0.0
3,1666.0,1246.0,0.0
4,1812.0,1666.0,0.0
5,2037.0,1941.0,0.0
6,1633.0,1581.0,0.0
7,1572.0,1446.0,0.0
8,1780.0,787.0,0.0
9,1185.0,375.0,0.0
10,1568.0,547.0,0.0
11,1894.0,142.0,0.0
12,1410.0,0.0,0.0
13,2281.0,0.0,0.0
14,1301.0,0.0,0.0
15,1430.0,0.0,0.0
16,1124.0,0.0,0.0
17,1510.0,0.0,0.0
18,1836.0,0.0,9.0
19,1574.0,0.0,407.0
20,1153.0,0.0,717.0
21,2176.0,0.0,753.0
22,2693.0,0.0,838.0
23,2537.0,0.0,852.0
