Oct 13,Oct 12,Oct 11,Oct 14
455.0,481.0,0.0,822.0
183.0,221.0,0.0,160.0
624.0,413.0,0.0,576.0
572.0,496.0,17.0,69.0
801.0,930.0,214.0,0.0
890.0,828.0,262.0,0.0
818.0,815.0,207.0,0.0
706.0,895.0,243.0,0.0
716.0,576.0,268.0,0.0
527.0,944.0,340.0,0.0
873.0,474.0,230.0,0.0
875.0,259.0,241.0,0.0
967.0,222.0,231.0,0.0
784.0,200.0,251.0,0.0
739.0,230.0,379.0,0.0
847.0,376.0,378.0,0.0
747.0,594.0,375.0,0.0
748.0,454.0,765.0,0.0
669.0,499.0,689.0,0.0
508.0,717.0,742.0,0.0
1126.0,570.0,729.0,0.0
474.0,608.0,742.0,0.0
746.0,503.0,957.0,0.0
535.0,927.0,431.0,0.0
