Hour,Dec 06,Dec 07,Dec 08,Dec 09
0,0.0,793.0,362.0,649.0
1,0.0,413.0,164.0,377.0
2,0.0,371.0,359.0,231.0
3,0.0,588.0,568.0,417.0
4,0.0,873.0,992.0,956.0
5,0.0,897.0,843.0,878.0
6,1.0,1118.0,1087.0,563.0
7,516.0,861.0,1088.0,19.0
8,777.0,744.0,589.0,0.0
9,581.0,935.0,624.0,0.0
10,703.0,766.0,695.0,0.0
11,683.0,909.0,835.0,0.0
12,641.0,876.0,717.0,0.0
13,799.0,923.0,898.0,0.0
14,655.0,692.0,694.0,0.0
15,735.0,654.0,667.0,0.0
16,900.0,868.0,913.0,0.0
17,962.0,1140.0,928.0,0.0
18,950.0,1035.0,1090.0,0.0
19,879.0,814.0,819.0,0.0
20,921.0,824.0,894.0,0.0
21,881.0,896.0,1743.0,0.0
22,618.0,1659.0,927.0,0.0
23,1445.0,463.0,569.0,0.0
