Hour,Nov 07,Nov 09,Nov 08,Nov 10
0,0.0,0.0,0.0,0.0
1,2.0,0.0,0.0,9.0
2,200.0,83.0,0.0,5.0
3,0.0,154.0,74.0,0.0
4,74.0,37.0,44.0,0.0
5,17.0,115.0,30.0,0.0
6,0.0,44.0,121.0,0.0
7,13.0,109.0,123.0,0.0
8,39.0,24.0,27.0,0.0
9,14.0,64.0,34.0,0.0
10,0.0,16.0,35.0,0.0
11,31.0,63.0,0.0,0.0
12,15.0,26.0,31.0,0.0
13,0.0,13.0,30.0,0.0
14,18.0,0.0,9.0,0.0
15,32.0,8.0,2.0,0.0
16,22.0,7.0,18.0,0.0
17,0.0,0.0,62.0,0.0
18,0.0,19.0,30.0,0.0
19,11.0,13.0,0.0,0.0
20,26.0,27.0,9.0,0.0
21,0.0,26.0,10.0,0.0
22,94.0,37.0,0.0,0.0
23,0.0,0.0,44.0,0.0
