Hour,Nov 23,Nov 22,Nov 21
0,33.0,51.0,0.0
1,16.0,34.0,0.0
2,0.0,50.0,0.0
3,0.0,0.0,0.0
4,0.0,142.0,0.0
5,0.0,209.0,0.0
6,0.0,146.0,0.0
7,0.0,107.0,0.0
8,0.0,35.0,6.0
9,0.0,24.0,0.0
10,0.0,53.0,0.0
11,0.0,26.0,7.0
12,0.0,29.0,9.0
13,0.0,0.0,17.0
14,0.0,28.0,21.0
15,0.0,0.0,46.0
16,0.0,58.0,10.0
17,0.0,16.0,25.0
18,0.0,58.0,0.0
19,0.0,30.0,72.0
20,0.0,38.0,15.0
21,0.0,34.0,0.0
22,0.0,0.0,125.0
23,0.0,30.0,0.0
