Hour,Oct 22,Oct 23,Oct 20,Oct 21
0,0.0,0.0,0.0,81.0
1,26.0,56.0,0.0,0.0
2,20.0,63.0,0.0,0.0
3,0.0,12.0,12.0,47.0
4,19.0,0.0,69.0,20.0
5,114.0,0.0,144.0,57.0
6,112.0,0.0,45.0,44.0
7,95.0,0.0,41.0,32.0
8,23.0,0.0,42.0,33.0
9,103.0,0.0,73.0,30.0
10,64.0,0.0,27.0,21.0
11,40.0,0.0,41.0,13.0
12,24.0,0.0,15.0,9.0
13,11.0,0.0,27.0,48.0
14,12.0,0.0,7.0,0.0
15,14.0,0.0,18.0,0.0
16,7.0,0.0,11.0,0.0
17,13.0,0.0,5.0,13.0
18,7.0,0.0,1.0,13.0
19,4.0,0.0,19.0,0.0
20,13.0,0.0,29.0,15.0
21,20.0,0.0,27.0,0.0
22,33.0,0.0,30.0,0.0
23,17.0,0.0,61.0,42.0
