Hour,Dec 02,Dec 03,Dec 01
0,133.0,0.0,0.0
1,46.0,0.0,0.0
2,21.0,0.0,0.0
3,68.0,24.0,0.0
4,115.0,96.0,0.0
5,106.0,98.0,0.0
6,29.0,89.0,0.0
7,124.0,63.0,0.0
8,144.0,26.0,0.0
9,81.0,25.0,0.0
10,128.0,10.0,0.0
11,96.0,2.0,0.0
12,28.0,0.0,0.0
13,59.0,0.0,0.0
14,138.0,0.0,0.0
15,20.0,0.0,0.0
16,0.0,0.0,0.0
17,18.0,0.0,0.0
18,24.0,0.0,0.0
19,0.0,0.0,3.0
20,60.0,0.0,60.0
21,31.0,0.0,39.0
22,58.0,0.0,40.0
23,81.0,0.0,0.0
