Hour,Oct 28,Oct 29,Oct 26,Oct 27
0,38.0,0.0,0.0,152.0
1,43.0,37.0,0.0,0.0
2,51.0,5.0,0.0,0.0
3,11.0,1.0,5.0,22.0
4,89.0,0.0,66.0,95.0
5,44.0,0.0,39.0,37.0
6,41.0,0.0,27.0,14.0
7,16.0,0.0,17.0,22.0
8,13.0,0.0,30.0,55.0
9,36.0,0.0,17.0,41.0
10,23.0,0.0,0.0,19.0
11,30.0,0.0,25.0,38.0
12,9.0,0.0,52.0,129.0
13,18.0,0.0,13.0,43.0
14,17.0,0.0,47.0,0.0
15,30.0,0.0,23.0,12.0
16,17.0,0.0,44.0,35.0
17,21.0,0.0,32.0,15.0
18,65.0,0.0,23.0,0.0
19,22.0,0.0,31.0,11.0
20,13.0,0.0,39.0,17.0
21,25.0,0.0,20.0,0.0
22,17.0,0.0,16.0,23.0
23,0.0,0.0,175.0,0.0
