Hour,Oct 19,Oct 18,Oct 17,Oct 20
0,0.0,0.0,0.0,0.0
1,0.0,18.0,0.0,0.0
2,10.0,184.0,15.0,37.0
3,36.0,0.0,7.0,55.0
4,51.0,103.0,0.0,0.0
5,51.0,82.0,0.0,0.0
6,65.0,206.0,15.0,0.0
7,36.0,91.0,26.0,0.0
8,61.0,54.0,11.0,0.0
9,23.0,54.0,29.0,0.0
10,52.0,21.0,19.0,0.0
11,0.0,29.0,0.0,0.0
12,0.0,11.0,67.0,0.0
13,33.0,0.0,9.0,0.0
14,23.0,25.0,20.0,0.0
15,0.0,16.0,10.0,0.0
16,34.0,0.0,24.0,0.0
17,25.0,11.0,38.0,0.0
18,0.0,30.0,92.0,0.0
19,12.0,0.0,0.0,0.0
20,11.0,65.0,47.0,0.0
21,25.0,22.0,34.0,0.0
22,28.0,69.0,41.0,0.0
23,0.0,74.0,41.0,0.0
