Hour,Oct 13,Oct 12,Oct 11,Oct 14
0,0.0,0.0,0.0,0.0
1,14.0,30.0,0.0,14.0
2,23.0,19.0,0.0,23.0
3,31.0,24.0,0.0,6.0
4,41.0,67.0,20.0,0.0
5,52.0,62.0,28.0,0.0
6,72.0,58.0,28.0,0.0
7,44.0,42.0,24.0,0.0
8,38.0,45.0,14.0,0.0
9,26.0,26.0,0.0,0.0
10,36.0,16.0,5.0,0.0
11,0.0,14.0,9.0,0.0
12,88.0,25.0,0.0,0.0
13,11.0,4.0,0.0,0.0
14,19.0,5.0,7.0,0.0
15,38.0,9.0,6.0,0.0
16,35.0,0.0,4.0,0.0
17,8.0,15.0,13.0,0.0
18,10.0,5.0,12.0,0.0
19,18.0,28.0,11.0,0.0
20,43.0,7.0,13.0,0.0
21,18.0,21.0,39.0,0.0
22,38.0,8.0,7.0,0.0
23,19.0,0.0,0.0,0.0
