Hour,Nov 04,Nov 01,Nov 03,Nov 02
0,0.0,0.0,54.0,0.0
1,17.0,0.0,0.0,15.0
2,4.0,17.0,44.0,0.0
3,0.0,13.0,38.0,10.0
4,0.0,114.0,17.0,79.0
5,0.0,73.0,39.0,46.0
6,0.0,81.0,93.0,37.0
7,0.0,96.0,82.0,24.0
8,0.0,54.0,29.0,38.0
9,0.0,50.0,36.0,50.0
10,0.0,18.0,20.0,24.0
11,0.0,40.0,19.0,26.0
12,0.0,49.0,42.0,114.0
13,0.0,54.0,38.0,16.0
14,0.0,38.0,9.0,10.0
15,0.0,180.0,30.0,26.0
16,0.0,11.0,0.0,16.0
17,0.0,24.0,37.0,0.0
18,0.0,40.0,27.0,5.0
19,0.0,10.0,43.0,0.0
20,0.0,50.0,27.0,60.0
21,0.0,29.0,18.0,36.0
22,0.0,59.0,57.0,93.0
23,0.0,3.0,0.0,0.0
