Hour,Dec 12,Dec 11,Dec 10,Dec 09
0,0.0,0.0,0.0,0.0
1,0.0,37.0,0.0,0.0
2,47.0,31.0,0.0,0.0
3,0.0,147.0,18.0,0.0
4,43.0,27.0,47.0,0.0
5,20.0,48.0,97.0,0.0
6,0.0,23.0,100.0,16.0
7,0.0,39.0,29.0,11.0
8,0.0,66.0,13.0,29.0
9,0.0,39.0,37.0,15.0
10,0.0,9.0,0.0,65.0
11,0.0,25.0,12.0,12.0
12,0.0,13.0,9.0,17.0
13,0.0,12.0,13.0,0.0
14,0.0,20.0,11.0,8.0
15,0.0,62.0,73.0,24.0
16,0.0,65.0,20.0,12.0
17,0.0,72.0,9.0,11.0
18,0.0,9.0,0.0,15.0
19,0.0,11.0,32.0,28.0
20,0.0,8.0,15.0,12.0
21,0.0,0.0,0.0,28.0
22,0.0,31.0,54.0,0.0
23,0.0,22.0,116.0,0.0
