Hour,Nov 16,Nov 14,Nov 15,Nov 13
0,32.0,60.0,0.0,0.0
1,21.0,94.0,0.0,43.0
2,18.0,19.0,24.0,90.0
3,0.0,38.0,0.0,0.0
4,0.0,128.0,50.0,27.0
5,0.0,48.0,140.0,18.0
6,0.0,44.0,78.0,74.0
7,0.0,38.0,82.0,61.0
8,0.0,25.0,0.0,39.0
9,0.0,67.0,13.0,108.0
10,0.0,11.0,4.0,72.0
11,0.0,40.0,59.0,29.0
12,0.0,23.0,10.0,14.0
13,0.0,27.0,8.0,60.0
14,0.0,41.0,60.0,45.0
15,0.0,20.0,0.0,42.0
16,0.0,29.0,36.0,0.0
17,0.0,33.0,24.0,0.0
18,0.0,16.0,8.0,20.0
19,0.0,39.0,37.0,10.0
20,0.0,24.0,32.0,12.0
21,0.0,16.0,0.0,0.0
22,0.0,16.0,19.0,0.0
23,0.0,0.0,0.0,1.0
