Hour,Oct 17,Oct 16,Oct 15,Oct 14
0,31.0,23.0,29.0,0.0
1,22.0,20.0,16.0,0.0
2,197.0,218.0,22.0,0.0
3,13.0,24.0,49.0,3.0
4,0.0,0.0,59.0,27.0
5,0.0,0.0,61.0,41.0
6,0.0,37.0,37.0,40.0
7,0.0,40.0,127.0,57.0
8,0.0,24.0,34.0,51.0
9,0.0,71.0,21.0,46.0
10,0.0,25.0,15.0,28.0
11,0.0,68.0,47.0,13.0
12,0.0,38.0,25.0,38.0
13,0.0,17.0,11.0,10.0
14,0.0,37.0,22.0,10.0
15,0.0,16.0,79.0,29.0
16,0.0,9.0,20.0,0.0
17,0.0,16.0,10.0,39.0
18,0.0,8.0,11.0,45.0
19,0.0,0.0,0.0,70.0
20,0.0,27.0,23.0,0.0
21,0.0,16.0,22.0,27.0
22,0.0,29.0,41.0,33.0
23,0.0,0.0,28.0,31.0
