Hour,Nov 27,Nov 29,Nov 28
0,0.0,14.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,76.0
4,0.0,0.0,37.0
5,0.0,0.0,161.0
6,0.0,0.0,40.0
7,29.0,0.0,66.0
8,10.0,0.0,0.0
9,47.0,0.0,20.0
10,35.0,0.0,0.0
11,0.0,0.0,42.0
12,13.0,0.0,41.0
13,55.0,0.0,63.0
14,26.0,0.0,0.0
15,16.0,0.0,16.0
16,4.0,0.0,15.0
17,14.0,0.0,34.0
18,15.0,0.0,34.0
19,34.0,0.0,16.0
20,17.0,0.0,5.0
21,18.0,0.0,16.0
22,74.0,0.0,0.0
23,0.0,0.0,30.0
