Hour,Dec 15,Dec 17,Dec 16
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,17.0,0.0
3,0.0,28.0,35.0
4,8.0,12.0,58.0
5,47.0,10.0,49.0
6,9.0,18.0,33.0
7,28.0,23.0,10.0
8,49.0,45.0,68.0
9,54.0,34.0,29.0
10,101.0,133.0,92.0
11,14.0,16.0,17.0
12,39.0,15.0,71.0
13,30.0,32.0,12.0
14,11.0,20.0,19.0
15,18.0,0.0,13.0
16,6.0,25.0,0.0
17,14.0,0.0,24.0
18,11.0,19.0,10.0
19,16.0,21.0,8.0
20,18.0,12.0,0.0
21,58.0,20.0,11.0
22,0.0,0.0,20.0
23,0.0,22.0,21.0
