Hour,Dec 15,Dec 14,Dec 13,Dec 12
0,39.0,33.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,46.0,0.0
3,27.0,12.0,77.0,0.0
4,26.0,41.0,64.0,2.0
5,16.0,67.0,26.0,24.0
6,0.0,41.0,36.0,0.0
7,0.0,36.0,78.0,18.0
8,0.0,32.0,17.0,0.0
9,0.0,13.0,61.0,41.0
10,0.0,24.0,14.0,52.0
11,0.0,26.0,0.0,7.0
12,0.0,24.0,8.0,8.0
13,0.0,26.0,10.0,29.0
14,0.0,20.0,0.0,0.0
15,0.0,9.0,47.0,0.0
16,0.0,40.0,11.0,8.0
17,0.0,16.0,8.0,0.0
18,0.0,12.0,0.0,13.0
19,0.0,34.0,0.0,12.0
20,0.0,12.0,38.0,11.0
21,0.0,37.0,0.0,12.0
22,0.0,25.0,59.0,18.0
23,0.0,101.0,47.0,132.0
