Hour,Nov 16,Nov 17,Nov 18,Nov 19
0,6.0,0.0,34.0,0.0
1,10.0,0.0,26.0,25.0
2,28.0,47.0,68.0,0.0
3,16.0,32.0,35.0,0.0
4,59.0,28.0,106.0,0.0
5,87.0,41.0,104.0,0.0
6,56.0,43.0,82.0,0.0
7,78.0,14.0,67.0,0.0
8,61.0,99.0,52.0,0.0
9,51.0,38.0,33.0,0.0
10,31.0,10.0,39.0,0.0
11,48.0,39.0,15.0,0.0
12,0.0,21.0,31.0,0.0
13,12.0,79.0,15.0,0.0
14,13.0,32.0,52.0,0.0
15,43.0,30.0,13.0,0.0
16,0.0,0.0,66.0,0.0
17,38.0,25.0,14.0,0.0
18,8.0,23.0,15.0,0.0
19,11.0,0.0,19.0,0.0
20,1.0,11.0,13.0,0.0
21,65.0,15.0,11.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,5.0,0.0
