Hour,Nov 20,Nov 21,Nov 19
0,0.0,0.0,0.0
1,0.0,167.0,28.0
2,114.0,50.0,0.0
3,31.0,139.0,32.0
4,29.0,63.0,0.0
5,61.0,64.0,29.0
6,0.0,78.0,63.0
7,27.0,0.0,82.0
8,152.0,14.0,27.0
9,61.0,0.0,22.0
10,66.0,0.0,9.0
11,15.0,8.0,7.0
12,0.0,8.0,33.0
13,20.0,9.0,28.0
14,16.0,2.0,42.0
15,8.0,0.0,31.0
16,15.0,0.0,0.0
17,13.0,0.0,10.0
18,0.0,0.0,15.0
19,16.0,0.0,32.0
20,48.0,0.0,8.0
21,0.0,0.0,14.0
22,0.0,0.0,37.0
23,0.0,0.0,37.0
