Hour,Nov 24,Nov 23,Nov 22
0,66.0,91.0,0.0
1,0.0,90.0,0.0
2,0.0,41.0,0.0
3,60.0,43.0,0.0
4,26.0,133.0,0.0
5,62.0,138.0,0.0
6,42.0,116.0,0.0
7,18.0,166.0,0.0
8,0.0,72.0,0.0
9,12.0,130.0,0.0
10,28.0,62.0,0.0
11,36.0,129.0,0.0
12,21.0,88.0,0.0
13,4.0,34.0,0.0
14,0.0,241.0,0.0
15,0.0,40.0,0.0
16,0.0,20.0,0.0
17,0.0,22.0,0.0
18,0.0,84.0,0.0
19,0.0,114.0,0.0
20,0.0,77.0,28.0
21,0.0,11.0,34.0
22,0.0,57.0,0.0
23,0.0,10.0,46.0
