Hour,Nov 30,Dec 02,Dec 01
0,0.0,10.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,137.0
4,0.0,0.0,59.0
5,0.0,0.0,75.0
6,0.0,0.0,50.0
7,7.0,0.0,117.0
8,0.0,0.0,66.0
9,38.0,0.0,54.0
10,15.0,0.0,0.0
11,21.0,0.0,0.0
12,0.0,0.0,30.0
13,30.0,0.0,29.0
14,18.0,0.0,25.0
15,0.0,0.0,68.0
16,84.0,0.0,8.0
17,32.0,0.0,16.0
18,22.0,0.0,40.0
19,13.0,0.0,21.0
20,0.0,0.0,60.0
21,48.0,0.0,39.0
22,94.0,0.0,40.0
23,44.0,0.0,0.0
